Processes,Total_Max,Total_Min,Total_Avg,Comm_Max,Comm_Min,Comm_Avg,Compute_Max,Compute_Min,Compute_Avg,Wait_Max,Wait_Min,Wait_Avg
4,0.000365,0.000324,0.000345,0.000098,0.000060,0.000081,0.000299,0.000243,0.000259,0.000079,0.000030,0.000059
4,0.000373,0.000324,0.000344,0.000110,0.000082,0.000095,0.000257,0.000236,0.000243,0.000087,0.000056,0.000072
4,0.000423,0.000416,0.000419,0.000176,0.000057,0.000116,0.000359,0.000235,0.000298,0.000154,0.000034,0.000093
